fonte,manchete,datahora,sinal
EXEMPLO,"OPEP+ anuncia corte adicional e surpreende o mercado com volume acima do esperado",2024-01-03T09:15:00-05:00,1.0
EXEMPLO,"Estoques semanais de petróleo nos EUA sobem bem acima do consenso",2024-01-10T10:30:00-05:00,-0.3
EXEMPLO,"Petróleo fecha a semana em alta de 2% puxado por realização técnica",2024-01-19T17:40:00-05:00,
EXEMPLO,"Ataques a navios no Mar Vermelho forçam desvio de rotas de petroleiros",2024-02-05T08:00:00-05:00,0.6
EXEMPLO,"Produção de xisto nos EUA atinge novo recorde mensal",2024-02-14T11:00:00-05:00,-0.6
EXEMPLO,"Explosão em oleoduto interrompe escoamento em região produtora",2024-02-24T13:20:00-05:00,0.6
EXEMPLO,"Estoques semanais de petróleo caem mais que o esperado",2024-03-06T10:30:00-05:00,0.3
EXEMPLO,"Analista projeta petróleo a US$ 100 no fim do ano",2024-03-15T14:05:00-04:00,
EXEMPLO,"Governo dos EUA anuncia recompra para recompor a reserva estratégica",2024-04-03T16:45:00-04:00,0.3
EXEMPLO,"Novas sanções restringem exportações de um grande produtor",2024-04-12T09:30:00-04:00,0.6
EXEMPLO,"Cessar-fogo em região produtora reduz prêmio de risco geopolítico",2024-04-20T11:10:00-04:00,-0.6
EXEMPLO,"Rig count semanal sobe pela quarta semana consecutiva",2024-05-08T13:00:00-04:00,-0.3
EXEMPLO,"Dados de importação de petróleo da China vêm abaixo do esperado",2024-05-22T21:00:00-04:00,-0.3
EXEMPLO,"OPEP+ mantém cotas inalteradas, em linha com o esperado, mas sinaliza viés de aperto",2024-06-05T10:00:00-04:00,0.6
EXEMPLO,"Petrolífera anuncia aumento de dividendo trimestral",2024-06-14T07:30:00-04:00,
EXEMPLO,"Estoques semanais praticamente estáveis, sem surpresa",2024-07-03T10:30:00-04:00,
EXEMPLO,"Furacão no Golfo do México força evacuação de plataformas",2024-07-17T12:00:00-04:00,0.6
EXEMPLO,"Plataformas retomam produção após passagem do furacão",2024-08-07T10:00:00-04:00,-0.3
EXEMPLO,"Dados de atividade industrial da China decepcionam e pressionam a demanda por combustíveis",2024-08-21T22:30:00-04:00,-0.6
EXEMPLO,"Grande produtor sinaliza abandono da meta de preço e disputa por participação de mercado",2024-09-04T09:00:00-04:00,-1.0
EXEMPLO,"Estoques de gasolina caem forte no início da driving season",2024-09-18T10:30:00-04:00,0.3
EXEMPLO,"Escalada militar em região produtora eleva risco de interrupção de oferta",2024-10-02T17:30:00-04:00,1.0
EXEMPLO,"Relatório aponta avanço da transição energética até 2050",2024-10-16T11:00:00-04:00,
EXEMPLO,"Governo autoriza nova rodada de licenças de perfuração em áreas federais",2024-11-06T15:50:00-05:00,-0.3
EXEMPLO,"Estoques semanais de petróleo sobem acima do consenso pela terceira semana",2024-11-20T10:30:00-05:00,-0.3
EXEMPLO,"OPEP+ adia por três meses o aumento programado de produção",2024-12-04T08:45:00-05:00,0.6
EXEMPLO,"Petrolífera anuncia troca de diretor financeiro",2024-12-18T18:00:00-05:00,
EXEMPLO,"Sanções adicionais atingem frota de transporte de um grande exportador",2025-01-08T09:20:00-05:00,0.6
EXEMPLO,"Onda de frio eleva consumo de diesel de aquecimento no hemisfério norte",2025-01-22T10:30:00-05:00,0.3
EXEMPLO,"Tarifas anunciadas sobre importações elevam temor de desaceleração global",2025-02-05T16:30:00-05:00,-0.6
EXEMPLO,"Duas majors anunciam fusão e prometem corte agregado de capex",2025-02-19T07:00:00-05:00,0.3
EXEMPLO,"Negociações de paz avançam e mercado precifica retorno de barris sancionados",2025-03-05T11:45:00-05:00,-1.0
EXEMPLO,"Estoques semanais caem bem abaixo do esperado com forte exportação",2025-03-19T10:30:00-04:00,0.3
EXEMPLO,"Análise técnica aponta rompimento de resistência no WTI",2025-04-02T09:00:00-04:00,
EXEMPLO,"OPEP+ acelera desmonte dos cortes voluntários acima do esperado",2025-04-16T08:30:00-04:00,-1.0
EXEMPLO,"Tensões no Estreito de Ormuz elevam custo de frete de petroleiros",2025-05-07T19:15:00-04:00,0.6
